"achievements.xboxlive.com","achievements_service","AchievementsService","XblAchievements"
"GET https://achievements.xboxlive.com/users/xuid({xuid})/achievements/?continuationToken={token}","achievements_result::get_next","AchievementsService::GetNext","XblAchievementsResultGetNextAsync"
"GET https://achievements.xboxlive.com/users/xuid({xuid})/achievements","achievement_service::get_achievements_for_title_id","AchievementsService::GetAchievementsForTitleId","XblAchievementsGetAchievementsForTitleIdAsync"
"GET https://achievements.xboxlive.com/users/xuid({xuid})/achievements/{scid}/{achievementId}","achievement_service::get_achievement","AchievementsService::GetAchievement","XblAchievementsGetAchievementAsync"
"POST https://achievements.xboxlive.com/users/xuid({xuid})/achievements/{scid}/update","achievement_service::update_achievement","AchievementsService::UpdateAchievementAsync","XblAchievementsUpdateAchievementsAsync"
"clubhub.xboxlive.com","clubs_service","ClubsService","N/A"
"clubaccounts.xboxlive.com","clubs_service","ClubsService","N/A"
"clubsearch.xboxlive.com/suggest","clubs_service","ClubsService","N/A"
"GET https://clubhub.xboxlive.com/clubs/Ids({clubId})/decoration/settings","clubs_service::get_club","ClubsService::GetClubAsync","N/A"
"POST https://clubhub.xboxlive.com/clubs/Batch","clubs_service::get_clubs","ClubsService::GetClubsAsync","N/A"
"GET https://clubaccounts.xboxlive.com/users/{userId}/clubsowned","clubs_service::get_clubs_owned","ClubsService::GetClubsOwnedAsync","N/A"
"POST https://clubaccounts.xboxlive.com/clubs/create","clubs_service::create_club","ClubsService::CreateClubAsync","N/A"
"DELETE https://clubaccounts.xboxlive.com/clubs/{clubId}","clubs_service::delete_club","ClubsService::DeleteClubAsync","N/A"
"GET https://clubhub.xboxlive.com/clubs/Xuid{xuid}","clubs_service::get_club_associations","ClubsService::GetClubAssociationsAsync","N/A"
"POST https://clubhub.xboxlive.com/clubs/recommendations","clubs_service::get_club_recommendations","ClubsService::GetClubRecommendationsAsync","N/A"
"GET https://clubhub.xboxlive.com/clubs/search","clubs_service::search_clubs","ClubsService::SearchClubsAsync","N/A"
"GET https://clubsearch.xboxlive.com/suggest","clubs_service::suggest_clubs","ClubsService::SuggestClubsAsync","N/A"
"contextualsearch.xboxlive.com","contextual_search_service","ContextualSearchService","N/A"
"GET https://contextualsearch.xboxlive.com/titles/{titleid}/configuration","contextual_search_service::get_configuration","ContextualSearchService::GetConfiguration","N/A"
"GET https://contextualsearch.xboxlive.com/titles/{titleId}/broadcasts","contextual_search_service::get_broadcasts","ContextualSearchService::GetBroadcasts","N/A"
"GET https://contextualsearch.xboxlive.com//titles/{titleId}/gameclips","contextual_search_service::get_game_clips","ContextualSearchService::GetGameClipsAsync","N/A"
"eplists.xboxlive.com","entertainment_profile_list_xbox_one_pins","EntertainmentProfileListXboxOnePins","N/A"
"POST https://eplists.xboxlive.com/users/xuid({xuid})/lists/PINS/XBLPins","entertainment_profile_list_xbox_one_pins::add_item","EntertainmentProfileListXboxOnePins::AddItem","N/A"
"POST https://eplists.xboxlive.com/users/xuid({xuid})/lists/PINS/XBLPins/RemoveItems","entertainment_profile_list_xbox_one_pins::remove_item","EntertainmentProfileListXboxOnePins::RemoveItem","N/A"
"POST https://eplists.xboxlive.com/users/xuid({xuid})/lists/PINS/XBLPins/ContainsItems","entertainment_profile_list_xbox_one_pins::contains_item","EntertainmentProfileListXboxOnePins::ContainsItem","N/A"
"gameserverms.xboxlive.com","game_server_platform_service","GameServerPlatformService","N/A"
"gameserverds.xboxlive.com","game_server_platform_service","GameServerPlatformService","N/A"
"POST https://gameserverms.xboxlive.com/titles/{gameServerTitleId}/clusters","game_server_platform_service::allocate_cluster","GameServerPlatformService::AllocateCluster","N/A"
"POST https://gameserverms.xboxlive.com/titles/{gameServerTitleId}/inlineclusters","game_server_platform_service::allocate_cluster_inline","GameServerPlatformService::AllocateClusterInline","N/A"
"GET https://gameserverms.xboxlive.com/titles/{titleId}/tickets/{ticketId}/status","game_server_platform_service::get_ticket_status","GameServerPlatformService::GetTicketStatus","N/A"
"POST https://gameserverds.xboxlive.com/titles/{titleId}/variants","game_server_platform_service::get_game_server_metadata","GameServerPlatformService::GetGameServerMetadata","N/A"
"GET https://gameserverds.xboxlive.com/qosservers/","game_server_platform_service::get_quality_of_service_servers/","GameServerPlatformService::GetQualityOfServiceServers","N/A"
"POST https://gameserverds.xboxlive.com/titles/{gameServerTitleId}/allocationStatus","game_server_platform_service::allocate_session_host","GameServerPlatformService::AllocateSessionHost","N/A"
"POST https://gameserverds.xboxlive.com/titles/{gameServerTitleId}/sessionhosts","game_server_platform_service::get_session_host_allocation_status","GameServerPlatformService::GetSessionHostAllocationStatus","N/A"
"leaderboards.xboxlive.com","leaderboard_service","LeaderboardService","XblLeaderboard"
